Past Paper Question Bank (Done),Year-Month-Question,Exam Series,Total Mark,Your Marks,Textbook,Textbook Sub-Topic,Status,Difficulty/Style,Question Type,Unit Topic,Unit Sub-Topic
No,2023-June-Q7aii,2023-June,6,,Chapter 3 Equations and Inequalities  Chapter 5 Straight Line Graphs,3d Linear inequalities  5a $y=mx+c$,Not started,Hard ,Sub-Question/One Question,"1. Algebra and functions  2. Coordinate geometry in the x,y) plane","1.7 Interpret linear and quadratic inequalities graphically.  2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2023-June-Q7b,2023-June,6,,Chapter 3 Equations and Inequalities,3f Inequalities on graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.7 Interpret linear and quadratic inequalities graphically.
No,2023-June-Q8a,2023-June,5,,Chapter 8 Differentiation  Chapter 5 Straight Line Graphs,8e Differentiating functions with two or more terms  5b Equations of straight lines,Not started,Medium ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane  4. Differentiation","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$  4.2 Differentiation of $xⁿ$, and related sums. differences and constant multiples.  4.1 The derivative of f(x) as the gradient of the tangent to the graph of y=f(x) at a point; the gradient of the tangent as a limit; interpretation as a rate of change; second order derivatives."
No,2023-June-Q8b,2023-June,5,,Chapter 9 Integration,9c Finding functions  9b Indefinite integrals,Not started,Medium ,Sub-Question/One Question,5. Integration,"5.1 Indefinite integration as the reverse of differentiation.  5.2 Integration of $xⁿ$ and related sums, differences and constant multiples."
No,2023-June-Q9ia,2023-June,2,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent  6f Transforming trigonometric graphs",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2023-June-Q9ib,2023-June,3,,Chapter 6 Trigonometric Ratios,6f Transforming trigonometric graphs,Not started,Medium ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2023-June-Q9iia,2023-June,2,,Chapter 6 Trigonometric Ratios,"6e Graphs of sine, cosine and tangent",Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2023-June-Q9iib,2023-June,2,,Chapter 6 Trigonometric Ratios,6f Transforming trigonometric graphs,Not started,Easy ,Sub-Question/One Question,3. Trigonometry,"3.3 Sine, cosine and tangent functions. Their graphs, symmetries and periodicity."
No,2023-June-Q10ai,2023-June,1,,Chapter 5 Straight Line Graphs,5b Equations of straight lines  5a $y=mx+c$,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2023-June-Q10aii,2023-June,3,,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
No,2023-June-Q10b,2023-June,2,,Chapter 5 Straight Line Graphs,5c Parallel and perpendicular lines,Not started,Medium ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane",2.2 Conditions for two straight lines to be parallel or perpendicular to each other.
No,2023-June-Q10c,2023-June,2,,Chapter 5 Straight Line Graphs,5a $y=mx+c$,Not started,Easy ,Sub-Question/One Question,"2. Coordinate geometry in the x,y) plane","2.1 Equation of a straight line, including the forms $$y-{{y}{1}}=m\left x-{{x}{1}} \right)$ and ax+by+c=0.$$"
No,2023-June-Q10d,2023-June,2,,Chapter 3 Equations and Inequalities,3c Simultaneous equations on graphs,Not started,Medium ,Sub-Question/One Question,1. Algebra and functions,1.6 Solve simultaneous equations; analytical solution by substitution.
